code, lat, lng, point, alt, name, region, name_k, region_k
JA8/KK-079,43.0026,142.3718,4,783,Shimukappu,Yufutsu(kamikawa)-gun<JCG#01074A>,占冠(三角点),北海道勇払郡占冠村<JCG#01074A>
JA8/KK-080,43.1057,142.3272,4,780,Nakayama,Minamifurano<JCG#01043C>,中山(三角点),北海道空知郡南富良野町<JCG#01043C>
JA8/KK-081,43.1581,142.378,4,771,Jyunashibetsu,Minamifurano<JCG#01043C>,十梨別(三角点),北海道空知郡南富良野町<JCG#01043C>
JA8/KK-082,44.4434,142.521,4,767,Syuyaroyama,Nkakagawa(Kamikawa)-gun<JCG#01050C>Nayoro-city<JCC#0121>,朱屋朗山,北海道中川郡美深町<JCG#01050C>北海道名寄市<JCC#0121>
JA8/KK-083,42.9241,142.4866,4,762,P762,Saru-gun<JCG#01031A>Yufutsu(kamikawa)-gun<JCG#01074A>,点762,北海道沙流郡日高町<JCG#01031A>北海道勇払郡占冠村<JCG#01074A>
JA8/KK-084,43.9561,142.5439,4,755,P755,Kawakami(kawakami)-gun<JCG#01023G>,点755,北海道上川郡愛別町<JCG#01023G>
JA8/KK-085,44.0692,142.1881,4,746,Inuushibetsuyama,Shibetsu-city<JCC#0120>,犬牛別山,北海道士別市<JCC#0120>
JA8/KK-086,44.1017,142.784,4,745,Nisamadake,Shibetsu-city<JCC#0120>,似峡岳,北海道士別市<JCC#0120>
JA8/KK-087,44.2136,142.6905,4,731,P731,Kawakami(kawakami)-gun<JCG#01023H>,点731,北海道上川郡下川町<JCG#01023H>
JA8/KK-088,44.6939,142.1602,4,728,Onisashibeyama,Nkakagawa(Kamikawa)-gun<JCG#01050A>,鬼刺山,北海道中川郡音威子府村<JCG#01050A>
JA8/KK-089,44.122,142.7751,4,720,P720,Shibetsu-city<JCC#0120>,点720,北海道士別市<JCC#0120>
JA8/KK-090,44.0715,142.709,4,716,Bunchiyayama,Shibetsu-city<JCC#0120>,文知也山(三角点),北海道士別市<JCC#0120>
JA8/KK-091,44.1924,142.6809,4,705,P705,Kawakami(kawakami)-gun<JCG#01023H>,点705,北海道上川郡下川町<JCG#01023H>
JA8/KK-092,44.1817,142.5332,4,703,P703,Shibetsu-city<JCC#0120>,点703,北海道士別市<JCC#0120>
JA8/KK-093,44.4243,142.1408,4,680,P680,Uryu-gun<JCG#01081A>,点680,北海道雨竜郡幌加内町<JCG#01081A>
JA8/KK-094,44.4158,142.5102,4,674,Kudoyama,Nayoro-city<JCC#0121>,九度山,北海道名寄市<JCC#0121>
JA8/KK-095,43.9052,142.1493,4,654,Takadomari,Asahikawa-ku<JCC#0102>Fukagawa-city<JCC#0128>Uryu-gun<JCG#01081A>,鷹泊(三角点),北海道旭川市<JCC#0102>北海道深川市<JCC#0128>北海道雨竜郡幌加内町<JCG#01081A>
JA8/KK-096,44.0941,142.578,2,645,Pankeiyama,Shibetsu-city<JCC#0120>,般渓山(三角点),北海道士別市<JCC#0120>
JA8/KK-097,43.9491,142.2106,2,640,P640,Uryu-gun<JCG#01081A>Asahikawa-ku<JCC#0102>,点640(冬路山近傍),北海道雨竜郡幌加内町<JCG#01081A>北海道旭川市<JCC#0102>
JA8/KK-098,44.605,142.1884,2,637,P637,Nkakagawa(Kamikawa)-gun<JCG#01050B>Nkakagawa(Kamikawa)-gun<JCG#01050A>,点637,北海道中川郡中川町<JCG#01050B>北海道中川郡音威子府村<JCG#01050A>
JA8/KK-099,44.857,142.1498,2,632,Pankezan,Nkakagawa(Kamikawa)-gun<JCG#01050B>Esashi-gun<JCG#01015C>,パンケ山,北海道中川郡中川町<JCG#01050B>北海道枝幸郡中頓別町<JCG#01015C>
JA8/KK-100,44.463,142.7174,2,629,Nayorotouge,Mombetsu-gun<JCG#01070E>Kawakami(kawakami)-gun<JCG#01023H>,名寄峠(三角点),北海道紋別郡雄武町<JCG#01070E>北海道上川郡下川町<JCG#01023H>
JA8/KK-101,44.3764,142.3211,2,626,P626,Nayoro-city<JCC#0121>Uryu-gun<JCG#01081A>,点626,北海道名寄市<JCC#0121>北海道雨竜郡幌加内町<JCG#01081A>
JA8/KK-102,44.2569,142.0852,2,624,P624,Uryu-gun<JCG#01081A>,点624,北海道雨竜郡幌加内町<JCG#01081A>
JA8/KK-103,44.348,142.8129,2,622,P622,Mombetsu-gun<JCG#01070I>Kawakami(kawakami)-gun<JCG#01023H>,点622,北海道紋別郡西興部村<JCG#01070I>北海道上川郡下川町<JCG#01023H>
JA8/KK-104,44.1451,142.1865,2,621,Onnebetsuyama,Uryu-gun<JCG#01081A>Shibetsu-city<JCC#0120>,音根別山(三角点),北海道雨竜郡幌加内町<JCG#01081A>北海道士別市<JCC#0120>
JA8/KK-105,43.2655,142.4166,2,606,Takinosawa,Furano-city<JCC#0129>,滝ノ沢(三角点),北海道富良野市<JCC#0129>
JA8/KK-106,44.6725,142.1497,2,605,P605,Nkakagawa(Kamikawa)-gun<JCG#01050B>Nkakagawa(Kamikawa)-gun<JCG#01050A>,点605,北海道中川郡中川町<JCG#01050B>北海道中川郡音威子府村<JCG#01050A>
JA8/KK-107,43.8611,142.7352,2,598,Esaushiyama,Kawakami(kawakami)-gun<JCG#01023B>,江差牛山,北海道上川郡上川町<JCG#01023B>
JA8/KK-108,43.7617,142.2049,2,593,Tokiwayama,Fukagawa-city<JCC#0128>Asahikawa-ku<JCC#0102>,常盤山,北海道深川市<JCC#0128>北海道旭川市<JCC#0102>
JA8/KK-109,43.961,142.3441,2,578,Kamuishiri,Kawakami(kawakami)-gun<JCG#01023D>Kawakami(kawakami)-gun<JCG#01023M>,カムイ尻,北海道上川郡鷹栖町<JCG#01023D>北海道上川郡和寒町<JCG#01023M>
JA8/KK-110,43.87,142.1686,2,577,Horonaiyama,Fukagawa-city<JCC#0128>Asahikawa-ku<JCC#0102>,幌内山,北海道深川市<JCC#0128>北海道旭川市<JCC#0102>
JA8/KK-111,43.7208,142.5989,2,571,Nakakitoushi,Asahikawa-ku<JCC#0102>Kawakami(kawakami)-gun<JCG#01023K>,中岐登牛(三角点),北海道旭川市<JCC#0102>北海道上川郡東川町<JCG#01023K>
JA8/KK-112,44.3529,142.6351,2,560,Maedayama,Kawakami(kawakami)-gun<JCG#01023H>,前田山,北海道上川郡下川町<JCG#01023H>
JA8/KK-113,44.7642,142.1638,2,558,P558,Nkakagawa(Kamikawa)-gun<JCG#01050A>Nkakagawa(Kamikawa)-gun<JCG#01050B>,点558,北海道中川郡音威子府村<JCG#01050A>北海道中川郡中川町<JCG#01050B>
JA8/KK-114,43.9326,142.1222,2,552,Minamiasabayama,Fukagawa-city<JCC#0128>Uryu-gun<JCG#01081A>,南浅羽山(三角点),北海道深川市<JCC#0128>北海道雨竜郡幌加内町<JCG#01081A>
